band,distance,end_frame,frame_idx,front_gif,kind,path,rank,route,scene_type,score,six_camera_gif,start_frame,weather_id
low,,81,,/root/autodl-tmp/orion_assets/visualizations/camera_uq_examples/gifs/low_uq_front.gif,gif,,,ConstructionObstacle_Town12_Route78_Weather0,normal,0.0,/root/autodl-tmp/orion_assets/visualizations/camera_uq_examples/gifs/low_uq_six_camera.gif,51,0
mid,,47,,/root/autodl-tmp/orion_assets/visualizations/camera_uq_examples/gifs/mid_uq_front.gif,gif,,,DynamicObjectCrossing_Town02_Route11_Weather11,adverse,0.3484320640563965,/root/autodl-tmp/orion_assets/visualizations/camera_uq_examples/gifs/mid_uq_six_camera.gif,17,11
high,,120,,/root/autodl-tmp/orion_assets/visualizations/camera_uq_examples/gifs/high_uq_front.gif,gif,,,VehicleTurningRoute_Town15_Route504_Weather10,adverse,1.0,/root/autodl-tmp/orion_assets/visualizations/camera_uq_examples/gifs/high_uq_six_camera.gif,90,10
low,1.4394423961639404,,61,,static,/root/autodl-tmp/orion_assets/visualizations/camera_uq_examples/static_examples/low_uq_1_ConstructionObstacle_Town12_Route78_Weather0__00061.png,1,ConstructionObstacle_Town12_Route78_Weather0,normal,0.0,,,0
low,1.4663035869598389,,62,,static,/root/autodl-tmp/orion_assets/visualizations/camera_uq_examples/static_examples/low_uq_2_ConstructionObstacle_Town12_Route78_Weather0__00062.png,2,ConstructionObstacle_Town12_Route78_Weather0,normal,0.0,,,0
low,1.4326024055480957,,63,,static,/root/autodl-tmp/orion_assets/visualizations/camera_uq_examples/static_examples/low_uq_3_ConstructionObstacle_Town12_Route78_Weather0__00063.png,3,ConstructionObstacle_Town12_Route78_Weather0,normal,0.0,,,0
mid,2.214432954788208,,27,,static,/root/autodl-tmp/orion_assets/visualizations/camera_uq_examples/static_examples/mid_uq_1_DynamicObjectCrossing_Town02_Route11_Weather11__00027.png,1,DynamicObjectCrossing_Town02_Route11_Weather11,adverse,0.3484320640563965,,,11
mid,2.192089557647705,,448,,static,/root/autodl-tmp/orion_assets/visualizations/camera_uq_examples/static_examples/mid_uq_2_EnterActorFlow_Town03_Route132_Weather2__00448.png,2,EnterActorFlow_Town03_Route132_Weather2,normal,0.3484320640563965,,,2
mid,2.2215194702148438,,31,,static,/root/autodl-tmp/orion_assets/visualizations/camera_uq_examples/static_examples/mid_uq_3_DynamicObjectCrossing_Town02_Route11_Weather11__00031.png,3,DynamicObjectCrossing_Town02_Route11_Weather11,adverse,0.3484320640563965,,,11
high,4.007257461547852,,100,,static,/root/autodl-tmp/orion_assets/visualizations/camera_uq_examples/static_examples/high_uq_1_VehicleTurningRoute_Town15_Route504_Weather10__00100.png,1,VehicleTurningRoute_Town15_Route504_Weather10,adverse,1.0,,,10
high,3.9765756130218506,,52,,static,/root/autodl-tmp/orion_assets/visualizations/camera_uq_examples/static_examples/high_uq_2_VehicleTurningRoutePedestrian_Town15_Route481_Weather19__00052.png,2,VehicleTurningRoutePedestrian_Town15_Route481_Weather19,adverse,1.0,,,19
high,3.9701812267303467,,222,,static,/root/autodl-tmp/orion_assets/visualizations/camera_uq_examples/static_examples/high_uq_3_VanillaSignalizedTurnEncounterRedLight_Town07_Route359_Weather21__00222.png,3,VanillaSignalizedTurnEncounterRedLight_Town07_Route359_Weather21,adverse,1.0,,,21
,,,,,contact_sheet,/root/autodl-tmp/orion_assets/visualizations/camera_uq_examples/density_uq_low_high_contact_sheet.png,,,,,,,
