split	archive_path	size_bytes
train	AccidentTwoWays_Town12_Route1445_Weather1.tar.gz	421161539
train	Accident_Town04_Route159_Weather3.tar.gz	312299119
train	BlockedIntersection_Town07_Route351_Weather13.tar.gz	381908882
train	ConstructionObstacleTwoWays_Town12_Route1419_Weather26.tar.gz	384819045
train	CrossingBicycleFlow_Town12_Route1072_Weather6.tar.gz	485753024
train	EnterActorFlow_Town07_Route348_Weather10.tar.gz	195498004
train	HazardAtSideLaneTwoWays_Town12_Route1136_Weather18.tar.gz	427688466
train	HighwayCutIn_Town13_Route629_Weather5.tar.gz	593847289
train	HighwayExit_Town06_Route293_Weather15.tar.gz	165293726
train	InterurbanActorFlow_Town06_Route294_Weather8.tar.gz	157577277
train	InvadingTurn_Town04_Route217_Weather9.tar.gz	172052489
train	MergerIntoSlowTrafficV2_Town15_Route525_Weather5.tar.gz	476215896
train	MergerIntoSlowTraffic_Town13_Route626_Weather2.tar.gz	677692834
train	NonSignalizedJunctionLeftTurnEnterFlow_Town15_Route533_Weather13.tar.gz	255615682
train	NonSignalizedJunctionLeftTurn_Town07_Route344_Weather6.tar.gz	228514843
train	NonSignalizedJunctionRightTurn_Town07_Route345_Weather14.tar.gz	223414665
train	OppositeVehicleRunningRedLight_Town03_Route120_Weather8.tar.gz	113901898
train	OppositeVehicleTakingPriority_Town03_Route155_Weather25.tar.gz	138210779
train	ParkingCrossingPedestrian_Town13_Route727_Weather25.tar.gz	180325591
train	ParkingCutIn_Town13_Route1342_Weather0.tar.gz	207092429
train	ParkingExit_Town13_Route567_Weather21.tar.gz	229308443
train	PedestrianCrossing_Town13_Route637_Weather13.tar.gz	173129285
train	SignalizedJunctionLeftTurnEnterFlow_Town15_Route531_Weather11.tar.gz	449011100
train	SignalizedJunctionLeftTurn_Town10HD_Route380_Weather21.tar.gz	242935184
train	SignalizedJunctionLeftTurn_Town10HD_Route381_Weather22.tar.gz	258131195
train	SignalizedJunctionRightTurn_Town03_Route151_Weather2.tar.gz	213195578
train	StaticCutIn_Town03_Route149_Weather19.tar.gz	75043129
train	VanillaNonSignalizedTurnEncounterStopsign_Town04_Route202_Weather20.tar.gz	377546253
train	VanillaNonSignalizedTurnEncounterStopsign_Town15_Route454_Weather12.tar.gz	72407775
train	VanillaSignalizedTurnEncounterGreenLight_Town07_Route355_Weather9.tar.gz	375880080
train	VanillaSignalizedTurnEncounterGreenLight_Town10HD_Route386_Weather22.tar.gz	322101083
train	VanillaSignalizedTurnEncounterRedLight_Town10HD_Route388_Weather23.tar.gz	380074897
train	VehicleOpensDoorTwoWays_Town12_Route1197_Weather1.tar.gz	833068860
train	YieldToEmergencyVehicle_Town04_Route165_Weather7.tar.gz	183804370
train	YieldToEmergencyVehicle_Town15_Route423_Weather7.tar.gz	325792761
validation	HardBreakRoute_Town01_Route30_Weather3.tar.gz	426576889
validation	InterurbanAdvancedActorFlow_Town06_Route330_Weather18.tar.gz	173657365
validation	NonSignalizedJunctionLeftTurn_Town03_Route123_Weather26.tar.gz	155598718
validation	SignalizedJunctionRightTurn_Town04_Route176_Weather20.tar.gz	138702249
validation	VehicleTurningRoute_Town15_Route1376_Weather15.tar.gz	306093213
calibration	BlockedIntersection_Town07_Route353_Weather15.tar.gz	302209816
calibration	HazardAtSideLane_Town03_Route105_Weather22.tar.gz	91200165
calibration	LaneChange_Town06_Route326_Weather3.tar.gz	185065636
calibration	ParkedObstacleTwoWays_Town13_Route1335_Weather26.tar.gz	447357779
calibration	TJunction_Town01_Route90_Weather12.tar.gz	786008469
held_out	ControlLoss_Town11_Route401_Weather11.tar.gz	99078817
held_out	ControlLoss_Town11_Route402_Weather12.tar.gz	69532663
held_out	DynamicObjectCrossing_Town11_Route20_Weather20.tar.gz	53176605
held_out	HardBreakRoute_Town11_Route50_Weather23.tar.gz	73424788
held_out	ParkedObstacle_Town11_Route395_Weather5.tar.gz	99662965
